# BUSCO version is: 6.0.0 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Complete	NZ_CP069563.1	3708980	3713263	+	1691.0	1175	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	NZ_CP069563.1	3705021	3708833	+	1168.6	795	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	NZ_CP069563.1	4731030	4727326	-	207.7	369	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Complete	NZ_CP069563.1	2456562	2459180	+	547.3	522	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Complete	NZ_CP069563.1	194465	192432	-	716.5	490	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
143460at2	Complete	NZ_CP069563.1	3430640	3432439	+	518.3	438	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Complete	NZ_CP069563.1	261552	263333	+	709.9	492	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
219876at2	Complete	NZ_CP069563.1	4120569	4119139	-	245.9	265	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	NZ_CP069563.1	3493378	3491033	-	504.7	456	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Complete	NZ_CP069563.1	486558	484801	-	574.3	473	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	NZ_CP069563.1	4599970	4601241	+	307.4	279	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Duplicated	NZ_CP069563.1	170292	172175	+	157.2	280	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
267682at2	Duplicated	NZ_CP069563.1	1869561	1868155	-	143.0	263	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	NZ_CP069563.1	2143431	2144705	+	352.4	321	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Complete	NZ_CP069563.1	3038933	3037671	-	150.0	182	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Complete	NZ_CP069563.1	3197776	3196484	-	330.6	283	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Complete	NZ_CP069563.1	752535	751018	-	538.5	360	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Complete	NZ_CP069563.1	4790035	4788776	-	150.9	221	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Complete	NZ_CP069563.1	4793127	4792108	-	373.3	292	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Complete	NZ_CP069563.1	2198782	2197259	-	303.7	231	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
505485at2	Complete	NZ_CP069563.1	2625892	2627259	+	217.1	231	https://v10-1.orthodb.org/?query=505485at2	Ribosomal protein S5 domain 2-type fold
533698at2	Complete	NZ_CP069563.1	1966126	1967415	+	382.4	289	https://v10-1.orthodb.org/?query=533698at2	Enolase
662686at2	Complete	NZ_CP069563.1	3733368	3734360	+	246.0	222	https://v10-1.orthodb.org/?query=662686at2	DNA-directed RNA polymerase subunit alpha
665824at2	Complete	NZ_CP069563.1	422050	423543	+	434.7	354	https://v10-1.orthodb.org/?query=665824at2	Proline--tRNA ligase
761140at2	Complete	NZ_CP069563.1	3373198	3371159	-	184.3	308	https://v10-1.orthodb.org/?query=761140at2	Methionine--tRNA ligase
776861at2	Complete	NZ_CP069563.1	4230441	4229650	-	257.0	208	https://v10-1.orthodb.org/?query=776861at2	Cytidylate kinase
837522at2	Complete	NZ_CP069563.1	747783	746200	-	625.3	409	https://v10-1.orthodb.org/?query=837522at2	ATP synthase subunit alpha
841869at2	Complete	NZ_CP069563.1	5086972	5087970	+	129.9	188	https://v10-1.orthodb.org/?query=841869at2	UDP-N-acetylenolpyruvoylglucosamine reductase
874197at2	Complete	NZ_CP069563.1	3142374	3141346	-	401.3	274	https://v10-1.orthodb.org/?query=874197at2	Holliday junction ATP-dependent DNA helicase RuvB
923547at2	Complete	NZ_CP069563.1	2275305	2276471	+	219.7	297	https://v10-1.orthodb.org/?query=923547at2	Phosphoribosylformylglycinamidine cyclo-ligase
932854at2	Complete	NZ_CP069563.1	3174548	3175822	+	584.9	412	https://v10-1.orthodb.org/?query=932854at2	Phosphoribosylamine--glycine ligase
932993at2	Complete	NZ_CP069563.1	3840194	3841549	+	34.8	182	https://v10-1.orthodb.org/?query=932993at2	Trigger factor
961486at2	Complete	NZ_CP069563.1	3721918	3722742	+	214.1	166	https://v10-1.orthodb.org/?query=961486at2	Ribosomal protein L2
981870at2	Complete	NZ_CP069563.1	4161598	4160522	-	280.0	266	https://v10-1.orthodb.org/?query=981870at2	Chorismate synthase
