# gapseq version: 2.0.0
# Transporter sequence DB md5sum: b99a77e (2026-05-26)
# genome_format=prot
id	tc	sub	sub_gapseq	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P24077|2.A.1.38.1	2.A.1.38.1	arabinose	D-Arabinose	EX_cpd00185_e0	rxn12574	gnl|TC-DB|P24077|2.A.1.38.1	23.9	1.66e-07	46.2	80.8	WP_014895070.1 MFS transporter [Candidatus Portiera aleyrodidarum]	83	410	transporter
gnl|TC-DB|P24077|2.A.1.38.1	2.A.1.38.1	arabinose	L-Arabinose	EX_cpd00224_e0	rxn05500,rxn08140,rxn08141	gnl|TC-DB|P24077|2.A.1.38.1	23.9	1.66e-07	46.2	80.8	WP_014895070.1 MFS transporter [Candidatus Portiera aleyrodidarum]	83	410	transporter
gnl|TC-DB|P21345|2.A.23.1.1	2.A.23.1.1	glutamate	L-Glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|TC-DB|P21345|2.A.23.1.1	56.8	8.2e-166	467	95.4	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	8	426	transporter
gnl|TC-DB|P21345|2.A.23.1.1	2.A.23.1.1	aspartate	L-Aspartate	EX_cpd00041_e0	rxn05217,rxn08169,rxn09781,rxn09825,rxn10151,rxn10155,rxn12439,rxn13233,rxn29029,rxn34357,rxn34358,rxn34456,rxn34493,rxn39046,rxn08165	gnl|TC-DB|P21345|2.A.23.1.1	56.8	8.2e-166	467	95.4	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	8	426	transporter
gnl|TC-DB|Q848I3|2.A.23.1.10	2.A.23.1.10	acetate	Acetate	EX_cpd00029_e0	rxn05488,rxn08061,rxn08062,rxn30452	gnl|TC-DB|Q848I3|2.A.23.1.10	37.7	8.52e-95	286	90.1	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	7	419	transporter
gnl|TC-DB|Q848I3|2.A.23.1.10	2.A.23.1.10	succinate	Succinate	EX_cpd00036_e0	rxn05654,rxn09269,rxn09270,rxn10154,rxn10157,rxn12455,rxn39059	gnl|TC-DB|Q848I3|2.A.23.1.10	37.7	8.52e-95	286	90.1	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	7	419	transporter
gnl|TC-DB|Q848I3|2.A.23.1.10	2.A.23.1.10	fumarate	Fumarate	EX_cpd00106_e0	rxn05561,rxn08542,rxn08543,rxn10152,rxn10158,rxn10901,rxn12423	gnl|TC-DB|Q848I3|2.A.23.1.10	37.7	8.52e-95	286	90.1	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	7	419	transporter
gnl|TC-DB|Q848I3|2.A.23.1.10	2.A.23.1.10	malate	L-Malate	EX_cpd00130_e0	rxn05207,rxn05605,rxn08865,rxn08866,rxn10153,rxn10156,rxn12446,rxn34241,rxn34242	gnl|TC-DB|Q848I3|2.A.23.1.10	37.7	8.52e-95	286	90.1	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	7	419	transporter
gnl|TC-DB|Q848I3|2.A.23.1.10	2.A.23.1.10	Benzoate	Benzoate	EX_cpd00153_e0	rxn12435	gnl|TC-DB|Q848I3|2.A.23.1.10	37.7	8.52e-95	286	90.1	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	7	419	transporter
gnl|TC-DB|Q0P964|2.A.23.1.11	2.A.23.1.11	succinate	Succinate	EX_cpd00036_e0	rxn05654,rxn09269,rxn09270,rxn10154,rxn10157,rxn12455,rxn39059	gnl|TC-DB|Q0P964|2.A.23.1.11	33.2	1.25e-73	232	91.9	WP_014895106.1 cation:dicarboxylase symporter family transporter [Candidatus Portiera aleyrodidarum]	7	422	transporter
